id,pred
704-2704,2
704-14395,1
2704-14395,2
11098-10186,1
11098-2118,2
10186-2118,1
3903-950,2
3903-13427,1
950-13427,2
5817-12404,2
5817-6525,2
12404-6525,2
7193-7948,2
7193-5883,2
7948-5883,1
11405-6275,2
11405-7972,1
6275-7972,2
13473-5658,2
11043-8045,2
11043-7488,2
8045-7488,2
12008-6044,2
12008-3155,2
6044-3155,1
11269-7244,2
11269-14988,2
7244-14988,1
14293-9017,2
14293-7190,2
9017-7190,2
13878-5176,1
13878-8549,1
5176-8549,2
11135-4909,2
11135-2380,1
4909-2380,1
10218-2481,2
10218-12975,2
2481-12975,2
5815-974,1
5815-12341,2
974-12341,1
14004-190,2
14004-2700,1
190-2700,1
8810-5723,1
8810-2758,2
5723-2758,2
3480-8315,2
12833-15052,2
14929-8673,2
14929-529,1
8673-529,2
5448-694,1
5448-6607,2
694-6607,2
4859-6963,1
4859-624,2
6963-624,1
1482-3948,2
1482-4678,2
3948-4678,1
6253-1028,2
6253-11397,1
1028-11397,2
202-13374,1
202-7601,2
13374-7601,1
2950-2269,1
2950-1625,2
2269-1625,1
13617-6468,1
13617-8602,2
6468-8602,2
1774-4071,1
1774-5152,1
4071-5152,1
7223-3952,2
7223-13620,2
3952-13620,2
7957-9932,2
7957-5940,1
9932-5940,1
2887-13418,1
2887-10571,2
13418-10571,1
10151-4989,2
10151-5170,2
4989-5170,1
11310-13360,1
11310-1471,2
13360-1471,1
11173-4736,2
11173-14797,2
4736-14797,1
2545-4258,1
2545-13346,1
4258-13346,2
1262-6688,2
1262-48,2
6688-48,2
10237-11878,2
10237-8358,1
11878-8358,2
14120-8847,2
14120-12935,1
8847-12935,1
14237-3365,1
14237-11633,1
3365-11633,1
4188-2366,2
4188-7994,1
2366-7994,1
11195-1881,1
11195-14116,2
1881-14116,2
4082-1002,2
4082-4511,1
1002-4511,1
10247-6063,1
10247-14123,1
6063-14123,2
2692-11792,1
2692-8377,1
11792-8377,1
8934-550,1
8934-15046,1
550-15046,1
3267-13866,2
3267-14704,2
13866-14704,2
8688-1405,1
8688-9673,1
1405-9673,1
12968-219,2
12968-4099,1
219-4099,1
14009-7194,1
14009-252,2
7194-252,1
3981-12175,2
3981-7111,1
12175-7111,1
6676-9897,1
6676-164,2
9897-164,1
12184-6153,1
12184-4106,2
6153-4106,1
5676-13134,1
5676-2425,2
13134-2425,2
4637-4472,2
4637-10423,2
4472-10423,1
15022-541,2
15022-7819,1
541-7819,2
10541-12683,1
10541-171,2
12683-171,1
7031-13926,2
7031-10037,1
13926-10037,2
1101-12969,2
1101-10895,2
12969-10895,1
5734-10144,2
5734-5238,2
10144-5238,2
12377-1200,1
12377-12085,1
1200-12085,1
13072-14501,1
13072-8053,2
14501-8053,2
2650-3817,2
2650-5846,2
3817-5846,2
52-13248,1
52-11992,1
13248-11992,2
7261-9190,2
7261-10774,1
9190-10774,2
9595-6163,1
9595-385,2
6163-385,2
6332-12643,2
6332-14788,2
12643-14788,2
10449-14087,2
10449-5706,2
14087-5706,2
1292-13015,1
1292-15059,1
13015-15059,2
5835-4652,1
5835-13184,1
4652-13184,1
14118-13310,2
14118-11077,1
13310-11077,1
7688-11477,2
7688-4918,2
11477-4918,2
2502-13865,2
2502-3610,2
13865-3610,2
7374-13163,1
7374-9747,2
13163-9747,1
2724-7267,1
2724-9876,2
7267-9876,1
12741-5895,2
12741-13915,2
5895-13915,1
69-14413,2
69-14660,1
14413-14660,2
9719-6187,2
9719-7894,1
6187-7894,2
10227-7878,2
10227-14082,1
7878-14082,1
6686-2942,2
6686-11178,2
2942-11178,2
3990-9820,2
3990-6113,1
9820-6113,2
8273-10393,1
8273-11505,2
10393-11505,2
7006-5991,2
1472-3242,1
1472-158,2
3242-158,2
14600-13380,2
14600-2885,1
13380-2885,2
11630-1653,2
11630-2094,2
1653-2094,2
9356-7822,1
9356-3457,1
7822-3457,2
402-175,1
402-7839,2
175-7839,2
7827-5332,1
12811-9168,2
12811-10202,2
9168-10202,2
1049-9276,1
2086-5202,1
2086-1831,1
5202-1831,2
12921-3673,1
12921-9073,2
3673-9073,2
5865-9224,2
5865-4201,2
9224-4201,2
8-762,1
8-9614,2
762-9614,2
8496-12286,2
8496-3497,2
12286-3497,1
7993-2677,2
7993-10548,1
2677-10548,2
1089-10836,2
1089-11869,2
10836-11869,1
10927-13293,2
10927-8612,2
13293-8612,2
13904-10045,1
13904-8205,2
10045-8205,2
13226-716,2
13226-10717,2
716-10717,2
2752-11826,1
2752-5082,1
11826-5082,2
995-6696,2
995-3417,2
6696-3417,2
9352-1743,1
9352-2755,1
1743-2755,1
5643-7865,1
5643-1879,1
7865-1879,1
4182-13383,1
4182-14681,2
13383-14681,1
2816-8372,2
2816-5407,2
8372-5407,1
3841-13597,2
3841-7975,2
13597-7975,1
3399-14085,1
3399-10732,1
14085-10732,2
10264-7668,1
10264-3869,1
7668-3869,1
2578-13364,1
2578-6023,2
13364-6023,1
6951-10035,1
6951-2539,1
10035-2539,1
12401-7353,1
12401-9378,2
7353-9378,2
5321-13164,2
5321-10357,1
13164-10357,2
13477-14723,2
13477-1832,1
14723-1832,1
1596-13251,2
1596-1629,2
13251-1629,2
397-12775,1
397-5762,2
12775-5762,2
6504-135,2
6504-11662,2
135-11662,1
13249-483,2
13249-11036,2
483-11036,1
6166-13196,1
6166-10988,2
13196-10988,1
5016-7028,2
5016-13575,2
7028-13575,1
11644-13658,2
11644-4321,2
13658-4321,1
9762-6735,1
9762-11092,2
6735-11092,1
10168-1877,1
10168-3662,1
1877-3662,2
9210-5031,2
9210-351,2
5031-351,2
12541-9078,2
12541-4089,2
9078-4089,1
4884-5007,2
4884-6017,2
5007-6017,2
11791-12524,2
11791-2732,2
12524-2732,1
6664-2159,1
6664-8162,2
2159-8162,2
14521-8605,1
14521-4436,2
8605-4436,1
6920-6842,2
6920-2509,2
6842-2509,2
12102-7578,2
12102-1366,1
7578-1366,1
6841-168,2
6841-3053,1
168-3053,1
10720-4042,2
10720-6722,2
4042-6722,1
7245-4662,1
7245-7868,2
4662-7868,2
6894-13426,2
6894-1480,1
13426-1480,2
13732-134,1
13732-5854,1
134-5854,2
12685-2575,1
12685-4980,2
2575-4980,1
2242-14325,2
2242-10444,1
14325-10444,1
6549-1955,1
6549-12294,2
1955-12294,1
13723-10803,1
8740-3620,2
6055-9555,2
6055-11647,2
9555-11647,2
4775-8059,1
4775-9085,1
8059-9085,2
6483-6529,1
6483-14799,2
6529-14799,1
1177-14936,2
1177-7939,1
14936-7939,2
4735-6656,2
4735-7316,2
6656-7316,1
568-1952,1
568-4717,1
1952-4717,1
1810-9601,2
1810-8661,2
9601-8661,2
9587-11342,1
9587-9346,2
11342-9346,1
5934-1564,2
5934-9607,2
1564-9607,1
3993-2639,2
3993-739,1
2639-739,2
7284-7221,2
7284-3209,1
7221-3209,2
6649-10042,2
6649-14346,2
